timestamp,id,price,market_cap,volume_24h,price_change_24h
2026-04-10T16:33:27.610462,bitcoin,73284,1467050428227.7324,39595119989.70149,1.2164682435673317
2026-04-10T16:33:27.611318,ethereum,2253.87,272050349521.4565,18192836688.547592,1.5600111309483211
2026-04-10T16:38:01.638990,bitcoin,73243,1465955616180.623,35414972657.21112,1.178340344202226
2026-04-10T16:38:01.641762,ethereum,2248.2,271524679918.26685,18362031504.21438,1.352469049326542
2026-06-07T15:41:57.005731,bitcoin,61282,1228031865511.509,30948501841.78874,1.169575571370072
2026-06-07T15:41:57.006350,ethereum,1609.83,194270279991.53317,13836399096.766838,3.569628132884073
2026-06-07T15:46:57.477994,bitcoin,61243,1226785364679.7024,31234100303.249504,1.0682239130840405
2026-06-07T15:46:57.478881,ethereum,1608.34,194030173038.00867,13871685900.786999,3.4710092866524245
2026-06-07T15:51:57.880321,bitcoin,61316,1226473165332.1511,31360136449.81412,1.1906442545604907
2026-06-07T15:51:57.880872,ethereum,1611.86,193944323371.1696,14705408875.95035,3.6839331651098326
2026-06-07T15:56:58.253399,bitcoin,61320,1229350113260.0308,31176741403.586723,1.187217100940142
2026-06-07T15:56:58.254094,ethereum,1614.16,194718179829.7262,13620538782.411827,3.819815814660675
2026-06-07T16:01:58.589948,bitcoin,61261,1228725641279.3054,31463946903.083958,1.1726154320711062
2026-06-07T16:01:58.590475,ethereum,1611.64,194809263369.65952,14152623628.876375,3.8064382573712954
2026-06-07T16:06:58.955737,bitcoin,61474,1230609947841.4546,27587668031.606575,1.5545205973191454
2026-06-07T16:06:58.956370,ethereum,1615.66,194944811178.79404,13551109658.04876,4.102123044153053
2026-06-07T16:11:59.319235,bitcoin,61582,1232419829806.7637,32239634384.900517,1.7084468764772032
2026-06-07T16:11:59.319808,ethereum,1619.98,195198359298.8074,14727098449.317112,4.3175559409533575
2026-06-07T16:37:48.579789,bitcoin,61721,1237234409873.5117,31715155547.434372,1.7834796950088094
2026-06-07T16:37:48.580438,ethereum,1624.28,196019774503.0362,14004564022.321732,4.507310837229209
2026-06-07T16:42:49.078137,bitcoin,61710,1236564277959.4214,31661582287.028404,1.6893725544601168
2026-06-07T16:42:49.079014,ethereum,1622.91,195866142614.52072,13986145021.352608,4.283926621463212
2026-06-07T16:54:11.311221,bitcoin,61896,1240384122667.6006,31870757663.245193,1.973726242462482
2026-06-07T16:54:11.312512,ethereum,1628.58,196531140033.5483,13983864359.856972,4.550133914493992
2026-06-07T16:59:11.679218,bitcoin,61882,1239597419754.8237,31766933012.088448,1.9439455249194129
2026-06-07T16:59:11.680000,ethereum,1627.98,196456036027.57227,13489544262.677593,4.543928657426643
2026-06-07T17:11:57.657575,bitcoin,61778,1237197632550.5474,31730520065.65318,1.5748828639203751
2026-06-07T17:11:57.662461,ethereum,1626.3,196097240580.24268,13946678072.125452,4.244187482860133
2026-06-07T17:16:58.017159,bitcoin,61935,1237197632550.5474,32334733818.187325,1.8268196665284337
2026-06-07T17:16:58.019282,ethereum,1629.96,196097240580.24268,13940246527.277445,4.526454499671752
2026-06-07T17:32:17.836234,bitcoin,61797,1237694203235.1646,31556292911.217125,1.441178948114748
2026-06-07T17:32:17.837521,ethereum,1628.69,196483367770.41776,14510634998.83737,4.207359544363879
2026-06-07T18:08:19.900789,bitcoin,61765,1238505556675.3545,31782328489.328197,1.9260222677233152
2026-06-07T18:08:19.901577,ethereum,1630.76,197069755528.9287,13973220763.247702,4.915944679933033
2026-06-07T18:13:20.354515,bitcoin,62027,1238505556675.3545,32707179201.020744,2.3404419900448685
2026-06-07T18:13:20.355512,ethereum,1637.35,197069755528.9287,14577810061.663675,5.2444217361461005
2026-06-07T18:18:20.705615,bitcoin,63413,1246514497541.213,30434808207.83123,4.451559049493746
2026-06-07T18:18:20.709695,ethereum,1690.04,198623266481.32812,13620063169.476995,8.338083161524263
2026-06-07T18:23:21.055391,bitcoin,63105,1270414733444.2312,34386413634.27699,4.154595024325673
2026-06-07T18:23:21.055983,ethereum,1681.04,204330640056.86075,15687853426.499508,8.033804882203873
2026-06-07T18:43:22.526848,bitcoin,63111,1268141611671.3796,36458368452.98905,4.251614412398951
2026-06-07T18:43:22.530934,ethereum,1680.88,203493507578.29892,15975446746.708117,8.040095330921648
2026-06-07T18:48:22.949460,bitcoin,63177,1263899179520.1233,36550866630.259186,4.241622849517566
2026-06-07T18:48:22.952347,ethereum,1682.67,202682722060.67,15553171468.559286,7.953605821647246
2026-06-07T18:58:23.678095,bitcoin,62914,1264177724411.4358,36496310483.54799,3.8466863677357694
2026-06-07T18:58:23.678783,ethereum,1675.84,202935259716.79495,15512066438.807028,7.500648495805327
2026-06-07T19:03:24.051141,bitcoin,62961,1261008793847.6675,36852499982.57343,3.8177228036478987
2026-06-07T19:03:24.052636,ethereum,1676.18,202235991307.4495,16145614358.077686,7.344796477122189
2026-06-07T19:08:24.442429,bitcoin,62818,1258823237892.4907,32415904750.62472,3.5331358297291073
2026-06-07T19:08:24.444880,ethereum,1672.14,201801036689.12903,13194653799.296095,7.062610868517146
2026-06-07T19:13:24.792084,bitcoin,62859,1258823237892.4907,36418022395.74926,3.5390471060048125
2026-06-07T19:13:24.794386,ethereum,1676.12,201801036689.12903,15639433651.132305,7.265569052738997
2026-06-07T19:18:25.163692,bitcoin,62887,1261571992847.6394,36927355919.55269,3.6449934435159217
2026-06-07T19:18:25.167315,ethereum,1676.62,202636651949.61264,15198874504.105154,7.529475480746839
2026-06-07T19:23:25.615448,bitcoin,62908,1258624163133.3738,36986029588.95481,3.7173117253957293
2026-06-07T19:23:25.618969,ethereum,1676.55,201909057595.45898,16284896177.031134,7.5330422905295995
2026-06-07T19:28:26.006578,bitcoin,63051,1263298770440.3042,37260506491.54404,3.9468872658681082
2026-06-07T19:28:26.009023,ethereum,1678.57,202554769148.7634,16337360737.73558,7.656550795419561
2026-06-07T19:33:26.405666,bitcoin,63215,1267341925612.7466,37238188398.39207,4.170477803873736
2026-06-07T19:33:26.406904,ethereum,1682.52,203202922444.9702,16365445113.923155,7.780323953823097
2026-06-07T19:38:26.774582,bitcoin,63137,1266961505168.6758,37196947866.210335,3.8905766285399155
2026-06-07T19:38:26.775263,ethereum,1679.67,203003754434.91254,15782044464.373577,7.482862234882778
2026-06-07T19:43:27.204224,bitcoin,63192,1265832818958.0193,37339185382.52284,3.8348478922005373
2026-06-07T19:43:27.209648,ethereum,1681.5,202689834072.68945,15741381273.471613,7.310746737585437
2026-06-07T19:48:27.559774,bitcoin,63261,1267599815005.349,37174123194.502945,4.01919752420099
2026-06-07T19:48:27.560848,ethereum,1683.83,203191337632.02856,15249450476.804085,7.451142283340538
2026-06-07T19:53:27.992265,bitcoin,63144,1267367631941.226,37711125010.16287,3.8268226639010354
2026-06-07T19:53:27.993027,ethereum,1682.33,203226896104.94528,16414321659.34713,7.3660228314437335
2026-06-07T19:58:28.408769,bitcoin,63193,1265462583026.8523,37030807815.50829,3.830509033914409
2026-06-07T19:58:28.411437,ethereum,1683.71,202910943108.1435,15377918582.996439,7.326848729092246
2026-06-07T20:03:28.837016,bitcoin,63228,1266954887605.9854,37599174587.63395,3.8622776369507568
2026-06-07T20:03:28.838372,ethereum,1685.41,203483035194.4283,15991033224.424677,7.356385143670821
2026-06-09T16:45:47.514822,bitcoin,62113,1244152055876.601,39800808744.73952,-1.9371004538659728
2026-06-09T16:45:47.528168,ethereum,1660.24,200231843584.6338,15955783035.167482,-1.510688677486682
2026-06-09T16:50:47.888146,bitcoin,62035,1243311370478.4368,36038750893.76095,-2.1067778639783623
2026-06-09T16:50:47.888830,ethereum,1658.77,200196487747.30737,14576711105.01332,-1.6365033230108577
2026-06-09T17:00:48.688763,bitcoin,62075,1243915982601.1887,40492904952.827736,-2.1349691124225374
2026-06-09T17:00:48.689533,ethereum,1658.51,200171584192.58762,14712122902.554562,-1.723368045362245
2026-06-09T16:55:48.312816,bitcoin,62034,1242756863783.4321,39169652985.31186,-2.136803845319528
2026-06-09T16:55:48.314303,ethereum,1657.92,200072022184.81058,14747876615.99598,-1.7029680943377319
2026-06-09T17:05:49.029035,bitcoin,62032,1244039249664.6465,40321592921.61257,-2.403967410102832
2026-06-09T17:05:49.030716,ethereum,1658.01,200220899278.24023,15349603167.684755,-2.1828536422774865
2026-06-09T17:10:49.502565,bitcoin,62053,1243236817986.981,40149585822.98809,-2.56666434643819
2026-06-09T17:10:49.506538,ethereum,1658.36,200143047654.18845,15234405906.15769,-2.7562139049458168
2026-06-09T17:15:49.860250,bitcoin,62076,1243236817986.981,40269692513.17353,-2.5623252312580043
2026-06-09T17:15:49.860876,ethereum,1658.42,200143047654.18845,14571748732.250755,-2.9879396308390933
2026-06-09T17:16:30.271391,bitcoin,62087,1243236817986.981,39666093228.31333,-2.3932579596236807
2026-06-09T17:16:30.272583,ethereum,1658.47,200143047654.18845,14554123568.502886,-2.8027914891933623
2026-06-09T17:20:50.207220,bitcoin,61973,1243761481421.4004,40292592182.75881,-2.5717013651717346
2026-06-09T17:20:50.209281,ethereum,1654.85,200050516294.9085,15147134199.540731,-3.014906860489357
2026-06-09T17:21:30.640385,bitcoin,61924,1243761481421.4004,40185384548.422455,-2.723882535261493
2026-06-09T17:21:30.642063,ethereum,1652.94,200050516294.9085,15618006596.154875,-3.232200715262491
2026-06-09T17:25:50.612852,bitcoin,61878,1240843198102.763,40433437405.57063,-2.7958712646002577
2026-06-09T17:25:50.616220,ethereum,1652.63,199474054662.87967,14840600501.417326,-3.2501603809851183
2026-06-09T17:26:30.993156,bitcoin,61872,1239901894375.852,39563597647.05854,-2.8443553109400286
2026-06-09T17:26:30.993840,ethereum,1652.43,199440807478.23474,14846956297.447992,-3.2705479720470407
2026-06-09T17:30:51.088104,bitcoin,61776,1237971802761.1047,40206384744.76344,-2.9684188320719738
2026-06-09T17:30:51.089912,ethereum,1650.62,199205132569.1912,14372615249.2305,-3.4027604758766197
2026-06-09T17:31:31.375116,bitcoin,61769,1237971802761.1047,40094446821.420006,-2.9789452226784916
2026-06-09T17:31:31.376105,ethereum,1650.37,199205132569.1912,14326727653.720064,-3.4172048477650248
2026-06-09T17:35:51.494992,bitcoin,61787,1237729929274.9258,40185522197.17193,-2.951493806256552
2026-06-09T17:35:51.497465,ethereum,1650.93,199159883179.70346,14972103571.961082,-3.3844474620922242
2026-06-09T17:36:31.719270,bitcoin,61793,1237729929274.9258,39829011523.672295,-3.026145559926331
2026-06-09T17:36:31.719933,ethereum,1651.29,199159883179.70346,14971108361.604847,-3.4939104294035177
2026-06-09T17:40:51.857863,bitcoin,61841,1238837241688.9468,39907825767.24123,-2.94983793695725
2026-06-09T17:40:51.858988,ethereum,1651.62,199297350185.77872,14954769858.912582,-3.474268849187765
2026-06-09T17:41:32.092441,bitcoin,61836,1238837241688.9468,40148115084.36041,-3.0663423829937626
2026-06-09T17:41:32.093967,ethereum,1651.4,199297350185.77872,14322284253.143534,-3.5805379010215916
2026-06-09T17:45:52.175023,bitcoin,61777,1239049117452.9905,40316528130.09767,-3.102479380058682
2026-06-09T17:45:52.175655,ethereum,1650.64,199261980361.00854,15071763606.585695,-3.3817791496024867
2026-06-09T17:46:32.435021,bitcoin,61758,1237574094361.8528,40298053533.869225,-3.1326581912973612
2026-06-09T17:46:32.435634,ethereum,1650.11,199143140677.48428,14894587645.503235,-3.4129980576409205
2026-06-09T17:55:52.987533,bitcoin,61690,1237120342073.2056,40596206884.48237,-3.2442708779468448
2026-06-09T17:55:52.988222,ethereum,1647.94,199052865323.72998,14942846224.081959,-3.4251267027734817
2026-06-09T17:56:33.232259,bitcoin,61690,1237120342073.2056,40596206884.48237,-3.2442708779468448
2026-06-09T17:56:33.233995,ethereum,1647.94,199052865323.72998,14942846224.081959,-3.4251267027734817
2026-06-09T18:00:53.394600,bitcoin,61678,1235925745759.1145,39986775410.48205,-3.26227860663434
2026-06-09T18:00:53.397241,ethereum,1648.05,198858751363.39392,14876548145.004301,-3.418624302527315
2026-06-09T18:01:33.700399,bitcoin,61715,1235925745759.1145,40660838266.230255,-2.837256985402661
2026-06-09T18:01:33.701878,ethereum,1648.71,198858751363.39392,14359977060.241913,-2.8183669625009737
2026-06-09T18:06:03.139905,bitcoin,61660,1236678875162.3235,40045342751.68346,-2.9234494398824094
2026-06-09T18:06:03.141466,ethereum,1646.18,198936180962.95728,14829861975.659153,-2.9673219305854928
2026-06-09T18:06:34.074797,bitcoin,61650,1235379512957.9282,39536297499.113525,-2.864140221919486
2026-06-09T18:06:34.075444,ethereum,1645.89,198626783645.66257,14225516673.611403,-2.9609868474150685
2026-06-09T18:11:13.106721,bitcoin,61687,1236125960978.825,39843663997.82979,-2.5750446988630524
2026-06-09T18:11:13.107575,ethereum,1646.81,198712525131.2611,14918336329.131721,-2.7161097046827694
2026-06-09T18:11:34.442282,bitcoin,61696,1236125960978.825,39639587054.29648,-2.5615952354285496
2026-06-09T18:11:34.443098,ethereum,1647.27,198712525131.2611,14904158618.31676,-2.688498389823916
2026-06-09T18:16:13.457554,bitcoin,61772,1236125960978.825,40788767466.67465,-2.2766667729166334
2026-06-09T18:16:13.458520,ethereum,1650.18,198712525131.2611,15406228835.095028,-2.3234497283493347
2026-06-09T18:16:34.823380,bitcoin,61794,1236125960978.825,39864786442.47173,-2.2426058696482
2026-06-09T18:16:34.824016,ethereum,1650.58,198712525131.2611,15370344230.090065,-2.299724798234549
2026-06-09T18:21:13.771392,bitcoin,61801,1238697363453.2126,39962016266.41024,-2.446593155296636
2026-06-09T18:21:13.772687,ethereum,1650.07,199165715282.1576,15378450182.345888,-2.594874709257538
2026-06-09T18:21:35.186672,bitcoin,61852,1238697363453.2126,40827642444.859665,-2.366435208515405
2026-06-09T18:21:35.187415,ethereum,1651.31,199165715282.1576,15379662181.485819,-2.5215339016285867
2026-06-09T18:26:23.669922,bitcoin,61839,1239589028032.4836,40569996598.25947,-2.35751938247715
2026-06-09T18:26:23.671028,ethereum,1649.73,199290224455.82788,14240045888.079725,-2.6460334048174445
2026-06-09T18:26:35.522173,bitcoin,61813,1239589028032.4836,40803705383.88497,-2.397590531883707
2026-06-09T18:26:35.522790,ethereum,1649.13,199290224455.82788,14718893414.573982,-2.6814237493954884
2026-06-09T18:31:27.298644,bitcoin,61772,1237781555791.079,39528460193.41105,-2.462190452656987
2026-06-09T18:31:27.299409,ethereum,1647.37,198838963278.2189,14181087940.39627,-2.7848801644343375
2026-06-09T18:31:35.901797,bitcoin,61772,1237781555791.079,39528460193.41105,-2.462190452656987
2026-06-09T18:31:35.902496,ethereum,1647.37,198838963278.2189,14181087940.39627,-2.7848801644343375
2026-06-09T18:46:37.010984,bitcoin,61814,1238130435431.561,40809323157.57624,-2.270191996022769
2026-06-09T18:46:37.011720,ethereum,1645.1,198555710960.81223,14114034496.91485,-2.9794388162391363
2026-06-09T18:46:37.124398,bitcoin,61814,1238130435431.561,40809323157.57624,-2.270191996022769
2026-06-09T18:46:37.130510,ethereum,1645.1,198555710960.81223,14114034496.91485,-2.9794388162391363
2026-06-09T18:51:37.482449,bitcoin,61762,1238650267827.1917,40934583239.787125,-2.442371426497718
2026-06-09T18:51:37.484227,ethereum,1642.45,198472218526.15515,14726237705.383476,-3.374083095042471
2026-06-09T18:51:37.518085,bitcoin,61762,1238650267827.1917,40934583239.787125,-2.442371426497718
2026-06-09T18:51:37.519698,ethereum,1642.45,198472218526.15515,14726237705.383476,-3.374083095042471
2026-06-09T18:55:14.430127,bitcoin,61684,1237030374575.5303,40014254926.95433,-2.565622258714708
2026-06-09T18:55:14.434397,ethereum,1640.42,198135325310.27454,14711866067.697634,-3.4937302780716815
2026-06-09T18:56:37.910008,bitcoin,61704,1236479093737.9795,40943685221.03943,-2.6825137526288434
2026-06-09T18:56:37.911776,ethereum,1641.08,198052555808.38385,14743143200.88121,-3.600362033791897
2026-06-09T18:56:37.926038,bitcoin,61704,1236479093737.9795,40943685221.03943,-2.6825137526288434
2026-06-09T18:56:37.927418,ethereum,1641.08,198052555808.38385,14743143200.88121,-3.600362033791897
2026-06-09T19:05:51.265271,bitcoin,61726,1236354751000.6208,40451117371.32984,-2.807243926737777
2026-06-09T19:05:51.267482,ethereum,1639.58,197845095926.9408,14214729242.128834,-4.149065796060331
2026-06-09T19:06:38.876478,bitcoin,61724,1236354751000.6208,39880907596.37061,-2.8102671431328674
2026-06-09T19:06:38.879573,ethereum,1639.32,197845095926.9408,14195755231.389194,-4.163944857980463
2026-06-09T19:11:05.896524,bitcoin,61733,1236198604288.4258,40498482349.84212,-2.8375740346502267
2026-06-09T19:11:05.897672,ethereum,1639.16,197663945203.5905,14200808862.157759,-4.183957826510184
2026-06-09T19:11:39.305551,bitcoin,61707,1236198604288.4258,40330337540.127716,-2.8796282799128945
2026-06-09T19:11:39.306215,ethereum,1637.83,197663945203.5905,14655662019.919422,-4.261330774766649
2026-06-09T19:16:06.269900,bitcoin,61711,1236198604288.4258,40365454478.78278,-2.403499739261843
2026-06-09T19:16:06.271930,ethereum,1638.02,197663945203.5905,14185683281.524036,-3.688253073851987
2026-06-09T19:21:06.666893,bitcoin,61789,1236709628453.8857,41035847814.543274,-2.1630218744324368
2026-06-09T19:21:06.671395,ethereum,1640.0,197746383141.76108,14760187272.100142,-3.371022712578325
2026-06-09T19:21:40.012810,bitcoin,61802,1238421879112.6194,40063739635.99086,-2.1420699954595825
2026-06-09T19:21:40.016884,ethereum,1640.39,197965508922.75726,14733746570.937233,-3.348017988478825
2026-06-09T19:26:19.776298,bitcoin,61740,1238421879112.6194,41012042648.15986,-2.2182042062751517
2026-06-09T19:26:19.777965,ethereum,1637.49,197965508922.75726,15208085972.629347,-3.5130881287949145
2026-06-09T19:26:40.417245,bitcoin,61740,1238421879112.6194,41012042648.15986,-2.2182042062751517
2026-06-09T19:26:40.421877,ethereum,1637.49,197965508922.75726,15208085972.629347,-3.5130881287949145
2026-06-09T19:36:41.105206,bitcoin,61670,1235790610094.0042,41028155254.75101,-2.3075135000832274
2026-06-09T19:36:41.109036,ethereum,1635.74,197377997373.55612,15239880794.622757,-3.6529010642545074
2026-06-09T19:46:09.657908,bitcoin,61591,1233712227849.5735,40211289402.00748,-2.4362908849709983
2026-06-09T19:46:09.668121,ethereum,1635.96,197209673368.2717,14818029393.649698,-3.5928183995368714
2026-06-09T19:46:41.855214,bitcoin,61591,1233712227849.5735,40211289402.00748,-2.4362908849709983
2026-06-09T19:46:41.856332,ethereum,1635.96,197209673368.2717,14818029393.649698,-3.5928183995368714
2026-06-09T21:04:44.715837,bitcoin,61863,1239776967976.0176,38785973928.60216,-1.2498347213968122
2026-06-09T21:04:44.717905,ethereum,1643.07,198270981975.83353,13751127305.111227,-1.3408375979324068
2026-06-09T21:04:50.160866,bitcoin,61863,1239776967976.0176,38785973928.60216,-1.2498347213968122
2026-06-09T21:04:50.161591,ethereum,1643.07,198270981975.83353,13751127305.111227,-1.3408375979324068
